Tema,Año,Mes,Marca,Modelo,Tipo,Segmento,Produccion
Producción de vehículos,2005,Mayo,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos, 2 198
Producción de vehículos,2005,Mayo,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos, 1 643
Producción de vehículos,2005,Mayo,General Motors,Chevy 5 Ptas,Automóviles,Subcompactos, 1 949
Producción de vehículos,2005,Mayo,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans, 1 143
Producción de vehículos,2005,Mayo,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,630
Producción de vehículos,2005,Mayo,General Motors,HHR 5 PTAS,Automóviles,Compactos,160
Producción de vehículos,2005,Mayo,General Motors,"Kodiak Chassis Cab Class 6 PBV23,900",Camiones ligeros,Pick Ups,3
Producción de vehículos,2005,Mayo,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,126
Producción de vehículos,2005,Mayo,General Motors,"Kodiak Chassis Cab Class 8 PBV36,000",Camiones ligeros,Pick Ups,184
Producción de vehículos,2005,Mayo,General Motors,Rendezvous,Camiones ligeros,Minivans, 6 170
Producción de vehículos,2005,Mayo,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,297
Producción de vehículos,2005,Mayo,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,412
Producción de vehículos,2005,Mayo,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,403
Producción de vehículos,2005,Mayo,General Motors,Suburban SUV-,Camiones ligeros,SUV's, 7 649
Producción de vehículos,2005,Mayo,General Motors,Sunfire 4 Ptas,Automóviles,Compactos, 1 722
Producción de vehículos,2005,Mayo,General Motors,Sunfire GT 2 Ptas,Automóviles,Compactos, 4 369
Producción de vehículos,2005,Mayo,Honda,Accord,Automóviles,De Lujo, 2 090
Producción de vehículos,2005,Mayo,Nissan,Chasis Largo,Camiones ligeros,Pick Ups, 1 732
Producción de vehículos,2005,Mayo,Nissan,Estacas Largo,Camiones ligeros,Pick Ups,191
Producción de vehículos,2005,Mayo,Nissan,Pickup Doble Cabina,Camiones ligeros,Pick Ups, 1 132
Producción de vehículos,2005,Mayo,Nissan,Pickup King Cab STD,Camiones ligeros,Pick Ups,0
Producción de vehículos,2005,Mayo,Nissan,Pickup Largo,Camiones ligeros,Pick Ups,421
Producción de vehículos,2005,Mayo,Nissan,Platina 4 PTS,Automóviles,Subcompactos, 4 351
Producción de vehículos,2005,Mayo,Nissan,Sentra 4 PTS,Automóviles,Compactos, 15 021
Producción de vehículos,2005,Mayo,Nissan,Tsubame,Automóviles,Compactos,0
Producción de vehículos,2005,Mayo,Nissan,Tsuru 4 PTS,Automóviles,Subcompactos, 6 370
Producción de vehículos,2005,Mayo,Renault,Clio,Automóviles,Subcompactos, 1 160
Producción de vehículos,2005,Mayo,Renault,Scenic,Automóviles,Compactos,0
Producción de vehículos,2005,Mayo,Volkswagen,Beetle,Automóviles,Compactos, 2 894
Producción de vehículos,2005,Mayo,Volkswagen,Beetle Cabrio,Automóviles,Compactos, 2 919
Producción de vehículos,2005,Mayo,Volkswagen,Bora,Automóviles,Compactos, 16 756
Producción de vehículos,2005,Mayo,Volkswagen,Jetta 4 PTAS,Automóviles,Compactos, 4 116
Producción de vehículos,2005,Junio,Chrysler,PT Cruiser,Automóviles,Compactos, 16 163
Producción de vehículos,2005,Junio,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,274
Producción de vehículos,2005,Junio,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups, 8 660
Producción de vehículos,2005,Junio,Chrysler,RAM 4000,Camiones ligeros,Pick Ups, 4 467
Producción de vehículos,2005,Junio,Ford Motor,F 150,Camiones ligeros,Pick Ups, 1 142
Producción de vehículos,2005,Junio,Ford Motor,F 250,Camiones ligeros,Pick Ups,701
Producción de vehículos,2005,Junio,Ford Motor,F 350,Camiones ligeros,Pick Ups, 1 069
Producción de vehículos,2005,Junio,Ford Motor,F 450,Camiones ligeros,Pick Ups,285
Producción de vehículos,2005,Junio,Ford Motor,F 550,Camiones ligeros,Pick Ups,76
Producción de vehículos,2005,Junio,Ford Motor,Fiesta Ikon,Automóviles,Subcompactos,414
Producción de vehículos,2005,Junio,Ford Motor,Focus ZX3,Automóviles,Compactos, 3 234
